sample	total	protocol	CHR13	post.t13	BF.13	factor.13	CHR18	post.t18	BF.18	factor.18	CHR21	post.t21	BF.21	factor.21	post.13	post.18	post.21
Individual_122	9991	Protocol_5	0.032229006105494944	1.6576279058959963e-17	-38.638558972836805	0.9055714938588887	0.02352116905214693	5.123825614097463e-22	-49.02297069557184	0.8281359982893037	0.012411170053047742	3.582366304424676e-10	-21.749827368630374	0.9473307146915685	1	1	0.9999999996417634
Individual_123	18262	Protocol_5	0.037728616799912386	7.13085679490733e-13	-27.969174814126536	1.060099705367614	0.029624356587449347	4.841951410361747e-17	-37.56662875746801	1.0430177199881308	0.012703975468185302	1.7228644309113875e-14	-31.69220302946794	0.9696802242061617	0.9999999999992868	1	0.9999999999999827
Individual_124	6120	Protocol_7	0.03202614379084967	9.492648782661059e-18	-39.19601398718511	0.8998714630009819	0.026633986928104574	6.575402505519714e-14	-30.352855508156924	0.9377324445154184	0.012254901960784314	9.083197152505026e-8	-16.214254413176402	0.9354029461657437	1	0.9999999999999343	0.9999999091680284
Individual_125	4695	Protocol_5	0.03450479233226837	6.040583874909132e-10	-21.227350254030416	0.9695165974198491	0.02896698615548456	1.7100599599378576e-8	-17.88415229266079	1.0198729469662584	0.011714589989350373	2.7143840143686627e-7	-15.119530334244496	0.8941615383156247	0.9999999993959414	0.9999999828994005	0.9999997285615985
Individual_127	2558	Protocol_5	0.03440187646598905	9.288821433498673e-8	-16.19186897028	0.9666248645980772	0.031665363565285376	2.2135613585456513e-5	-10.718300636158663	1.1148777260685427	0.013291634089132134	6.844454286117971e-5	-9.589418286975866	1.0145355488046284	0.9999999071117859	0.9999778643864147	0.999931555457139
Individual_128	4392	Protocol_7	0.0389344262295082	2.316408564758237e-9	-19.88324788082379	1.0939805716560114	0.03301457194899818	2.619249770374448e-6	-12.852620009128575	1.1623808084735523	0.010701275045537341	8.269502296467189e-8	-16.3081063358384	0.8168163431545674	0.9999999976835916	0.9999973807502293	0.9999999173049771
Individual_129	4329	Protocol_5	0.03303303303303303	1.3200291132974724e-10	-22.748197137925008	0.9281630644301357	0.025179025179025177	4.695657546152243e-11	-23.781797867605153	0.8865059855806896	0.013629013629013628	1.5545643190976494e-5	-11.071714593477532	1.0402873513560535	0.9999999998679971	0.9999999999530433	0.9999844543568089
Individual_130	2957	Protocol_5	0.03517078119715928	7.917250792668787e-8	-16.351636641352133	0.9882295707364485	0.024687182955698342	3.261758642433715e-9	-19.5409993228935	0.8691891485768579	0.014541765302671627	1.941573286717781e-4	-8.54664757884691	1.1099566646960979	0.9999999208274919	0.9999999967382411	0.9998058426713282
Individual_131	8161	Protocol_7	0.0354123269207205	4.984742924323161e-17	-37.53756474865965	0.9950165290746786	0.025732140669035657	3.0663106745436665e-18	-40.326056569632186	0.9059801387349647	0.014459012375934322	5.57303810063234e-6	-12.097564639699863	1.1036402264478267	1	1	0.9999944269618993
Individual_132	3797	Protocol_5	0.033974190150118516	2.2603189318900944e-9	-19.90775991105308	0.9546077228128749	0.03450092178035291	4.7175040895275133e-4	-7.65858864511333	1.2147123825831199	0.013958388201211482	4.489740397331541e-5	-10.011085684441946	1.0654281436864914	0.999999997739681	0.9995282495910475	0.9999551025960267
Individual_133	1513	Protocol_7	0.031725049570389956	2.6624162935435638e-8	-17.44144662583155	0.8914113093703834	0.027098479841374753	1.4055655964431323e-6	-13.475069370871413	0.9540863638965724	0.01255783212161269	1.5365846079617133e-4	-8.780624535252878	0.9585252661833239	0.999999973375837	0.9999985944344033	0.9998463415392038
Individual_134	23996	Protocol_5	0.03475579263210535	4.654897691282088e-21	-46.816367020629755	0.9765692107005188	0.027337889648274712	2.3901515745482655e-28	-63.60102581958776	0.9625155316389491	0.013752292048674779	1.83424566265056e-13	-29.326972894957883	1.049697055107149	1	1	0.9999999999998161
Individual_135	13845	Protocol_7	0.03596966413867822	3.2939821140730497e-22	-49.46477484397862	1.010676605448026	0.027518959913326112	6.164729996693293e-23	-51.14061279936263	0.9688906741489326	0.012784398699891657	1.2651270057385861e-11	-25.09326350598874	0.9758188394410306	1	1	0.9999999999873488
